id,municities,npss_irri,vs_irri,rs_irri,ms_irri,total_irri,npss_rain,vs_rain,rs_rain,ms_rain,total_rain,npss_up,vs_up,rs_up,ms_up,total_up,npss_gt,vs_gt,rs_gt,ms_gt,total_gt
946,San Fernando,116.4979468,171.5783371,32.49983962,0,320.5761235,50.01059333,58.98448803,0,0,108.9950814,0,0,0,0,0,166.5085401,230.5628251,32.49983962,0,429.5712048
947,San Jacinto,139.4097766,95.22046979,19.60070039,0,254.2309467,19.53262055,0.349432445,0.885194586,0,20.76724758,0,0,0,0,0,158.9423971,95.56990223,20.48589497,0,274.9981943
948,San Pascual,22.26213287,4.184812505,1.779047678,17.66658207,45.89257513,40.99439962,47.21860987,16.18383148,19.91924247,124.3160834,0,0,0,9.362773895,9.362773895,63.2565325,51.40342237,17.96287916,46.94859844,179.5714325
949,Uson,191.6477564,257.4355959,74.1504475,305.2068837,828.4406835,0.168668581,1.748959257,4.403534865,5.646488379,11.96765108,0,0,0,28.9556564,28.9556564,191.816425,259.1845551,78.55398236,339.8090285,869.363991
1415,Barcelona,9.485771029,19.59543934,10.10966831,0,39.19087867,0,0,0.241474656,0.309088215,0.550562872,0,0,0,0,0,9.485771029,19.59543934,10.35114296,0.309088215,39.74144154
1416,Bulan,0.672192493,2.688769972,4.033154957,3.360962464,10.75507989,0.154555013,0.618220053,1.081885092,1.236440105,3.091100263,0,0,0,0,0,0.826747506,3.306990024,5.11504005,4.59740257,13.84618015
1417,Bulusan,103.0936527,28.73655889,26.66615233,0,158.4963639,0,0,0,0,0,0,0,0,0,0,103.0936527,28.73655889,26.66615233,0,158.4963639
1418,Casiguran,284.8388453,389.2316059,132.7853499,115.8443534,922.7001544,0.046816463,0.468368237,1.171022394,1.498941242,3.185148336,0,0,0,0,0,284.8856618,389.6999741,133.9563722,117.3432946,925.8853028
1419,Castilla,13.06209027,14.74836108,3.372541618,2.810451349,33.99344432,3.968717755,6.156153266,4.374871021,4.374871021,18.87461306,0,0,0,0,0,17.03080803,20.90451434,7.74741264,7.18532237,52.86805738
1420,Donsol,0.142504883,0,0,0,0.142504883,0.488954218,4.749289114,4.260334896,0,9.498578228,0,0,0,0,0,0.631459101,4.749289114,4.260334896,0,9.64108311
1421,Gubat,1322.818845,65.95497834,20.08246751,3.593722926,1412.450013,620.24,0,0,0,620.24,0,0,0,0,0,1943.058845,65.95497834,20.08246751,3.593722926,2032.690013
1422,Irosin,1418.33782,0,0,0,1418.33782,80.94976626,0.237219004,0.612825711,0.790745934,82.59055691,0,0,0,0,0,1499.287586,0.237219004,0.612825711,0.790745934,1500.928377
1423,Juban,778.838852,305.1313008,0,0,1083.970153,0.148684041,1.374960289,0,0,1.523644329,0,0,0,0,0,778.987536,306.5062611,0,0,1085.493797
1424,Magallanes,0.209438458,0,0,0,0.209438458,0.057340433,0.573575536,1.434024445,1.835578683,3.900519098,0,0,0,0,0,0.266778891,0.573575536,1.434024445,1.835578683,4.109957556
1425,Matnog,0.447564525,1.790258102,2.685387152,2.237822627,7.161032406,0.034382342,0.137529368,0.240676394,0.275058736,0.68764684,0,0,0,0,0,0.481946867,1.92778747,2.926063546,2.512881363,7.848679246
1426,Pilar,0.167222892,1.725359666,8.106224012,35.72873487,45.72754144,1.298534546,3.895603638,5.194138184,5.194138184,15.58241455,0,0,0,0,0,1.465757438,5.620963304,13.3003622,40.92287305,61.30995599
1427,PrietoDiaz,143.9604595,66.89137835,0.391378352,0.130459451,211.3736756,203.4343144,18.97871791,3.764581569,4.840356179,231.0179701,0,0,0,0,0,347.3947739,85.87009627,4.155959921,4.970815629,442.3916457
1428,Santa Magdalena,113.7241772,16.74670898,0,0,130.4708862,25.13130971,19.09523884,2.58392913,0,46.81047768,0,0,0,0,0,138.855487,35.84194782,2.58392913,0,177.2813639
1429,Sorsogon City,713.8170944,0,0,0,713.8170944,148.5514661,4.61563397,0,0,153.1671,0,0,0,0,0,862.3685605,4.61563397,0,0,866.9841944
